iso3,value,year
DNK,90,2024
FIN,88,2024
SGP,84,2024
NZL,83,2024
LUX,81,2024
NOR,81,2024
CHE,81,2024
SWE,80,2024
NLD,78,2024
AUS,77,2024
ISL,77,2024
IRL,77,2024
EST,76,2024
URY,76,2024
CAN,75,2024
DEU,75,2024
HKG,74,2024
BTN,72,2024
SYC,72,2024
JPN,71,2024
GBR,71,2024
BEL,69,2024
BRB,68,2024
ARE,68,2024
AUT,67,2024
FRA,67,2024
TWN,67,2024
BHS,65,2024
USA,65,2024
ISR,64,2024
South Korea,64,2024
Chjile,63,2024
Lithuana,63,2024
VCT,63,2024
CPV,62,2024
DMA,60,2024
SVN,60,2024
LVA,59,2024
QAT,59,2024
LCA,59,2024
SAU,59,2024
CRI,58,2024
BWA,57,2024
PRT,57,2024
RWA,57,2024
CYP,56,2024
CZE,56,2024
GRD,56,2024
ESP,56,2024
FJI,55,2024
OMN,55,2024
ITA,54,2024
BHR,53,2024
GEO,53,2024
POL,53,2024
Mauiritius,51,2024
MYS,50,2024
VUT,50,2024
GRC,49,2024
JOR,49,2024
NAM,49,2024
SVK,49,2024
ARM,47,2024
HRV,47,2024
KWT,46,2024
MLT,46,2024
MNE,46,2024
ROU,46,2024
BEN,45,2024
Cote d'Ivoire,45,2024
STP,45,2024
SEN,45,2024
JAM,44,2024
Kosovo,44,2024
TLS,44,2024
BGR,43,2024
CHN,43,2024
MDA,43,2024
SLB,43,2024
ALB,42,2024
GHA,42,2024
BFA,41,2024
CUB,41,2024
HUN,41,2024
ZAF,41,2024
TZA,41,2024
TTO,41,2024
KAZ,40,2024
MKD,40,2024
SUR,40,2024
VNM,40,2024
COL,39,2024
GUY,39,2024
TUN,39,2024
ZMB,39,2024
GMB,38,2024
IND,38,2024
MDV,38,2024
ARG,37,2024
ETH,37,2024
IDN,37,2024
LSO,37,2024
MAR,37,2024
DOM,36,2024
SRB,35,2024
UKR,35,2024
DZA,34,2024
BRA,34,2024
Malawai,34,2024
NPL,34,2024
NER,34,2024
THA,34,2024
TUR,34,2024
BLR,33,2024
BIH,33,2024
Laos,33,2024
MNG,33,2024
PAN,33,2024
PHL,33,2024
SLE,33,2024
AGO,32,2024
ECU,32,2024
KEN,32,2024
LKA,32,2024
TGO,32,2024
UZB,32,2024
DJI,31,2024
PNG,31,2024
PER,31,2024
EGY,30,2024
SLV,30,2024
MRT,30,2024
BOL,28,2024
GIN,28,2024
Estwatini,27,2024
GAB,27,2024
LBR,27,2024
MLI,27,2024
PAK,27,2024
CMR,26,2024
IRQ,26,2024
MDG,26,2024
MEX,26,2024
NGA,26,2024
UGA,26,2024
GTM,25,2024
KGZ,25,2024
MOZ,25,2024
CAF,24,2024
PRY,24,2024
BGD,23,2024
COG,23,2024
Iran,23,2024
AZE,22,2024
HND,22,2024
LBN,22,2024
Russia,22,2024
KHM,21,2024
TCD,21,2024
COM,21,2024
GNB,21,2024
ZWE,21,2024
Democratic Republic of the Congo,20,2024
TJK,19,2024
AFG,17,2024
BDI,17,2024
TKM,17,2024
HTI,16,2024
MMR,16,2024
North Korea,15,2024
SDN,15,2024
NIC,14,2024
GNQ,13,2024
ERI,13,2024
LBY,13,2024
YEM,13,2024
Syria,12,2024
VEN,10,2024
SOM,9,2024
SSD,180,2024
