,iso3,cluster,composite_score,cluster_rank,cluster_desc,composite_score_np,country_rank_np
0,ABW,2,0.0621585633544627,6,Lower‑middle performers,0.065994337174,80
1,AFG,1,-0.8397219032106822,10,Low performers,-0.7975703360242121,210
2,AGO,3,-0.4624369966302605,7,Lower‑middle performers,-0.4387113246015811,181
3,ALB,2,0.0522992104989501,6,Lower‑middle performers,-0.0517891027995159,99
4,AND,4,0.4171309124150533,4,Upper‑middle performers,0.6557699371860148,28
5,ARE,4,0.6852531296666834,4,Upper‑middle performers,0.9431393141394746,8
6,ARG,2,-0.0748331481962651,6,Lower‑middle performers,0.0749502790418008,78
7,ARM,2,0.2487166558459871,6,Lower‑middle performers,-0.0056016031114197,90
8,ASM,2,0.0638320137232371,6,Lower‑middle performers,-0.008419958236184,91
9,ATG,2,-0.0845188621920532,6,Lower‑middle performers,-0.155933954380998,124
10,AUS,4,0.6726748924763326,4,Upper‑middle performers,0.8782719145083959,11
11,AUT,4,0.2924089476972912,4,Upper‑middle performers,0.4435489806832431,41
12,AZE,2,-0.0472287965641117,6,Lower‑middle performers,-0.205860299807525,131
13,BDI,8,-0.5550711395576458,8,Lower‑middle performers,-0.7495507662070119,205
14,BEL,4,0.5124128116293013,4,Upper‑middle performers,0.7014244531140925,24
15,BEN,1,-0.3482573332754602,10,Low performers,-0.3449727161653186,162
16,BFA,1,-0.4979599284851504,10,Low performers,-0.6593972139915234,199
17,BGD,8,-0.239167399542634,8,Lower‑middle performers,-0.157542116439248,125
18,BGR,2,0.0398493900613605,6,Lower‑middle performers,-0.0713447577891205,103
19,BHR,4,0.6038894022155817,4,Upper‑middle performers,0.7797880091785726,23
20,BHS,2,0.2027606514161712,6,Lower‑middle performers,0.1700680969336659,64
21,BIH,2,-0.2593686936061951,6,Lower‑middle performers,-0.3108747390452132,155
22,BLR,2,-0.0677475425008257,6,Lower‑middle performers,-0.1036775352649224,112
23,BLZ,8,-0.2262670577514187,8,Lower‑middle performers,-0.2408438166564314,138
24,BMU,4,0.4502066333432549,4,Upper‑middle performers,0.8042028265477783,18
25,BOL,8,-0.2052817470586502,8,Lower‑middle performers,-0.22670923527906,133
26,BRA,2,0.00884175321763,6,Lower‑middle performers,0.1968379454769041,59
27,BRB,2,0.0535540346883038,6,Lower‑middle performers,-0.1416540608632264,120
28,BRN,4,0.3388109447687828,4,Upper‑middle performers,0.4888274008947674,38
29,BTN,2,0.035313879973277,6,Lower‑middle performers,-0.1017304663456471,111
30,BWA,3,0.0029027816504882,7,Lower‑middle performers,-0.0772002942331644,104
31,CAF,8,-0.625230345983134,8,Lower‑middle performers,-0.8057833623056858,211
32,CAN,4,0.5322971677488867,4,Upper‑middle performers,0.7907220874101623,21
33,CHE,4,0.6193362514870039,4,Upper‑middle performers,0.8632042681996339,14
34,CHL,2,0.1704911772005636,6,Lower‑middle performers,0.2526315705607663,54
35,CHN,6,0.5083809199327519,5,Upper‑middle performers,1.7018248021662163,5
36,CIV,1,-0.3442086576567302,10,Low performers,-0.3166517093069648,156
37,CMR,8,-0.3537054568307203,8,Lower‑middle performers,-0.3570442440900923,163
38,COD,8,-0.3249147511990477,8,Lower‑middle performers,-0.3752897877571859,166
39,COG,3,-0.4750466080073005,7,Lower‑middle performers,-0.4688764741677594,184
40,COL,2,0.0583544027937734,6,Lower‑middle performers,0.0482367503575744,82
41,COM,1,-0.6070013587191211,10,Low performers,-0.6457268179746005,198
42,CPV,2,0.059365674359749,6,Lower‑middle performers,-0.0271005985828947,94
43,CRI,2,0.3024574065491108,6,Lower‑middle performers,0.2691487502748254,52
44,CUB,2,-0.0428841072172096,6,Lower‑middle performers,-0.0956135727559336,110
45,CUW,2,0.1088271615753085,6,Lower‑middle performers,0.081467515151071,75
46,CYM,4,0.4781797021138547,4,Upper‑middle performers,0.7869873303358311,22
47,CYP,4,0.3228462454044054,4,Upper‑middle performers,0.3745050797606931,45
48,CZE,4,0.3021752858382737,4,Upper‑middle performers,0.4318817686104431,42
49,DEU,4,0.4472762402927059,4,Upper‑middle performers,0.7006153492518578,25
50,DJI,3,-0.2683123933038751,7,Lower‑middle performers,-0.300495698340019,154
51,DMA,2,0.1017709253441771,6,Lower‑middle performers,-0.0449345518756608,97
52,DNK,4,0.7251799759293904,4,Upper‑middle performers,0.8008790569157358,20
53,DOM,2,0.0112300716848568,6,Lower‑middle performers,0.0887681577999052,72
54,DZA,2,0.2132343670088546,6,Lower‑middle performers,-0.0867814795283824,109
55,ECU,2,-0.0595946586754861,6,Lower‑middle performers,-0.1104355982907281,114
56,EGY,8,-0.3189738614168819,8,Lower‑middle performers,-0.2818103404973683,149
57,ERI,8,-0.4953689066607125,8,Lower‑middle performers,-0.5034913964743102,189
