iso3,gdp_per_capita_ppp,gdp_total_usd,life_expectancy,military_expenditure_pct_gdp,population_density,population_growth_pct,real_gdp_growth_pct,total_population,unemployment_rate,urbanization_rate,Corruption_Perception_Index_2024_iso3,inflation_pct_wb,literacy_rate_unesco,military_expenditure_constusd,wgi_gov_effectiveness,latitude,longitude,cluster,composite_score,cluster_rank,cluster_desc,composite_score_np,country_rank_np
ABW,44967.3445127078,3648573136.15155,76.353,1.56832126015003,596.166666666667,0.0456516784920034,4.26371941452948,107359.0,5.166,44.254,40.0,3.3233806708656,92.1500015258789,49331897000.0,0.795440852642059,12.5,-69.97,2,0.0621585633544627,6,Lower‑middle performers,0.065994337174,80
AFG,2211.28063454007,17233051620.1117,66.035,1.56832126015003,62.2155405301811,2.13559384981397,2.71088679128353,41454761.0,13.295,26.933,17.0,-6.60118564073726,37.0,23040000000.0,-1.98701369762421,33.94,67.71,1,-0.8397219032106822,10,Low performers,-0.7975703360242121,210
AGO,8040.70244971812,84824654481.7249,64.617,1.33252915998752,28.5834835966953,3.08065530722915,1.00128936028298,36749906.0,14.464,68.688,32.0,28.2404948915772,72.4000015258789,854800000000.0,-1.00890958309174,-11.2,17.87,3,-0.4624369966302605,7,Lower‑middle performers,-0.4387113246015811,181
ALB,21263.1956590519,23547179830.4413,79.602,1.74399167669186,101.375510948905,-1.14841763771287,3.93662525742167,2745972.0,10.25,64.603,42.0,2.21448953273294,98.5,40256000000.0,0.250855356454849,41.15,20.17,2,0.0522992104989501,6,Lower‑middle performers,-0.0517891027995159,99
AND,71730.6686821645,3785067331.7625,84.041,1.56832126015003,169.585106382979,1.43374756867515,2.58355480961319,80856.0,5.166,87.774,40.0,3.3233806708656,92.1500015258789,49331897000.0,1.4754387140274,42.5,1.6,4,0.4171309124150533,4,Upper‑middle performers,0.6557699371860148,28
ARE,76110.3848456483,514130432653.081,82.909,1.56832126015003,141.861123627147,3.97717097504667,3.61870653547174,10483751.0,2.133,87.779,68.0,1.62670837213248,98.0,49331897000.0,1.60428190231323,23.42,53.85,4,0.6852531296666834,4,Upper‑middle performers,0.9431393141394746,8
ARG,30082.3045247323,646075277525.125,77.395,0.472747196738259,16.5922716858687,0.286976121920089,-1.61100162090189,45538401.0,7.876,92.463,37.0,3.3233806708656,92.1500015258789,826649000000.0,-0.377517342567444,-38.42,-63.62,2,-0.0748331481962651,6,Lower‑middle performers,0.0749502790418008,78
ARM,21342.5145334886,24085749592.3359,77.4658536585366,5.45092500345977,104.292237442922,0.728178919340382,8.29999999959539,2990900.0,13.329,63.739,47.0,0.269511978259125,92.1500015258789,520520000000.0,-0.184129968285561,40.07,45.04,2,0.2487166558459871,6,Lower‑middle performers,-0.0056016031114197,90
ASM,19828.9248461199,44026363258.1748,72.852,1.56832126015003,241.71,-1.71290294190977,2.94478583082221,47521.0,5.166,87.235,40.0,3.3233806708656,92.1500015258789,49331897000.0,0.654167771339417,,,2,0.0638320137232371,6,Lower‑middle performers,-0.008419958236184,91
ATG,32149.1403648823,2033085185.18518,77.598,1.56832126015003,211.0,0.511400156215609,3.86201218730389,93316.0,5.166,24.332,40.0,5.06713865364213,92.1500015258789,49331897000.0,0.380410820245743,,,2,-0.0845188621920532,6,Lower‑middle performers,-0.155933954380998,124
