country,iso3,year,value
Africa Eastern and Southern,AFE,2023,4374.22953170023
Africa Western and Central,AFW,2023,5343.4685293794
Arab World,ARB,2023,17634.8156082297
Caribbean small states,CSS,2023,31622.8558618208
Central Europe and the Baltics,CEB,2023,46400.608876934
Early-demographic dividend,EAR,2023,12990.8860921411
East Asia & Pacific,EAS,2023,25067.3934710428
East Asia & Pacific (excluding high income),EAP,2023,21258.2478369775
East Asia & Pacific (IDA & IBRD countries),TEA,2023,21497.1818108083
Euro area,EMU,2023,61544.2537126145
Europe & Central Asia,ECS,2023,48817.6625241728
Europe & Central Asia (excluding high income),ECA,2023,27264.9968559641
Europe & Central Asia (IDA & IBRD countries),TEC,2023,35393.5770533285
European Union,EUU,2023,59044.9732937459
Fragile and conflict affected situations,FCS,2023,5492.42314031462
Heavily indebted poor countries (HIPC),HPC,2023,3391.41542852495
High income,,2023,63189.1518332032
IBRD only,IBD,2023,19503.1733640774
IDA & IBRD total,IBT,2023,15503.7600968758
IDA blend,IDB,2023,6362.66630504775
IDA only,IDX,2023,4526.69200024795
IDA total,IDA,2023,5123.42881419766
Late-demographic dividend,LTE,2023,25981.3552731147
Latin America & Caribbean,LCN,2023,21856.6343132101
Latin America & Caribbean (excluding high income),LAC,2023,20924.5213768296
Latin America & the Caribbean (IDA & IBRD countries),TLA,2023,21747.9843549043
Least developed countries: UN classification,LDC,2023,4205.96202924111
Low & middle income,LMY,2023,14357.6142806206
Low income,,2023,2411.33632700008
Lower middle income,,2023,9300.46598363465
Middle East & North Africa,MEA,2023,20564.456560872
Middle East & North Africa (excluding high income),MNA,2023,14072.7650267015
Middle East & North Africa (IDA & IBRD countries),TMN,2023,14171.9193574058
Middle income,MIC,2023,15857.6532630596
North America,NAC,2023,80716.5426668838
Not classified,,2023,
OECD members,OED,2023,58482.7616957205
Other small states,OSS,2023,31130.6200208294
Pacific island small states,PSS,2023,8000.81860466351
Post-demographic dividend,PST,2023,64373.8812891595
Pre-demographic dividend,PRE,2023,4466.3835549151
Small states,SST,2023,28152.0230249118
South Asia,SAS,2023,9366.42420208151
South Asia (IDA & IBRD),TSA,2023,9366.42420208151
Sub-Saharan Africa,SSF,2023,4766.1789270063
Sub-Saharan Africa (excluding high income),SSA,2023,4763.52278126603
