country,iso3,year,value
Africa Eastern and Southern,AFE,2024,
Africa Western and Central,AFW,2024,
Arab World,ARB,2024,
Caribbean small states,CSS,2024,
Central Europe and the Baltics,CEB,2024,
Early-demographic dividend,EAR,2024,
East Asia & Pacific,EAS,2024,
East Asia & Pacific (excluding high income),EAP,2024,
East Asia & Pacific (IDA & IBRD countries),TEA,2024,
Euro area,EMU,2024,
Europe & Central Asia,ECS,2024,
Europe & Central Asia (excluding high income),ECA,2024,
Europe & Central Asia (IDA & IBRD countries),TEC,2024,
European Union,EUU,2024,
Fragile and conflict affected situations,FCS,2024,
Heavily indebted poor countries (HIPC),HPC,2024,
High income,,2024,
IBRD only,IBD,2024,
IDA & IBRD total,IBT,2024,
IDA blend,IDB,2024,
IDA only,IDX,2024,
IDA total,IDA,2024,
Late-demographic dividend,LTE,2024,
Latin America & Caribbean,LCN,2024,
Latin America & Caribbean (excluding high income),LAC,2024,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2024,
Least developed countries: UN classification,LDC,2024,
Low & middle income,LMY,2024,
Low income,,2024,
Lower middle income,,2024,
Middle East & North Africa,MEA,2024,
Middle East & North Africa (excluding high income),MNA,2024,
Middle East & North Africa (IDA & IBRD countries),TMN,2024,
Middle income,MIC,2024,
North America,NAC,2024,
Not classified,,2024,
OECD members,OED,2024,
Other small states,OSS,2024,
Pacific island small states,PSS,2024,
Post-demographic dividend,PST,2024,
Pre-demographic dividend,PRE,2024,
Small states,SST,2024,
South Asia,SAS,2024,
South Asia (IDA & IBRD),TSA,2024,
Sub-Saharan Africa,SSF,2024,
Sub-Saharan Africa (excluding high income),SSA,2024,
Sub-Saharan Africa (IDA & IBRD countries),TSS,2024,
Upper middle income,,2024,
World,WLD,2024,
Afghanistan,AFG,2024,-6.60118564073726
Albania,ALB,2024,2.21448953273294
Algeria,DZA,2024,4.04611455313434
American Samoa,ASM,2024,
Andorra,AND,2024,
Angola,AGO,2024,28.2404948915772
Antigua and Barbuda,ATG,2024,
Argentina,ARG,2024,
Armenia,ARM,2024,0.269511978259125
Aruba,ABW,2024,
Australia,AUS,2024,3.1616142830575
Austria,AUT,2024,2.93791574279383
Azerbaijan,AZE,2024,2.21217188919901
"Bahamas, The",BHS,2024,
Bahrain,BHR,2024,0.919635459817651
Bangladesh,BGD,2024,10.4657482763412
Barbados,BRB,2024,
Belarus,BLR,2024,5.78531910428
Belgium,BEL,2024,3.14349136500041
Belize,BLZ,2024,3.28955985952768
