iso3,year,value
ZWE,2022,104.705170628667
FSM,2022,5.40874375479067
SDN,2022,138.80846024176
GNB,2022,9.39383877456591
GNQ,2022,4.78671704710803
SSD,2023,2.38280434813759
ETH,2023,30.2188278135278
FJI,2023,2.14817440623896
GMB,2023,16.9742129632327
SLB,2023,5.88585897042164
DJI,2023,1.49506816515088
DMA,2023,4.22769324983409
EGY,2023,33.8847763115546
COG,2023,4.30174563591016
IDN,2023,3.67013142377007
GRD,2023,2.69612269814564
HTI,2023,36.8135162780854
HRV,2023,7.9412817758683
TGO,2023,5.48928568141124
KNA,2023,3.55711230848243
LCA,2023,4.07060821926204
CAF,2023,2.97913852618937
IRQ,2023,4.35835351089586
SEN,2023,5.93947798773215
CPV,2023,3.72437517668748
KHM,2023,2.12746796594194
CMR,2023,7.38281384280984
LBN,2023,221.341644023365
JOR,2023,2.08486986327134
KIR,2023,9.28307374517721
IRN,2023,44.5791857572797
ARE,2023,1.62670837213248
THA,2023,1.22802623546169
MAC,2023,0.476384495788075
KGZ,2023,10.7532770416742
BRB,2023,9.79207077126447
LBR,2023,10.0944535665552
BEN,2023,2.73102465280233
BHS,2023,3.05291578969743
MDG,2023,9.87432675044888
MLT,2023,5.09396758978883
STP,2023,21.2589138473
ATG,2023,5.06713865364213
MOZ,2023,7.12697482131851
NPL,2023,7.11475951738199
MRT,2023,4.95305034506872
NGA,2023,24.6595502031139
OMN,2023,0.950782997762827
PSE,2023,5.87110177678988
ZMB,2023,10.884531691282
VUT,2023,11.1825017088175
GBR,2024,3.2715729463592
USA,2024,2.94952520485207
URY,2024,4.84914366613156
QAT,2024,1.26734310292375
PAK,2024,12.6325318530452
PLW,2024,2.23172772921704
PAN,2024,0.685197879812108
PNG,2024,0.602403921107917
PRY,2024,3.83540271728533
NIC,2024,4.62473841057141
NER,2024,9.07151997725013
MKD,2024,3.48974086026947
NOR,2024,3.14530134431073
MAR,2024,0.985256592004507
NAM,2024,4.23903922877036
NLD,2024,3.34754304219953
NZL,2024,2.92279782301957
MUS,2024,4.10263226568006
MEX,2024,4.72225588452932
MDA,2024,4.67773516007048
SAU,2024,1.68792112375817
PER,2024,2.00770739412712
PHL,2024,3.21260487006347
POL,2024,3.7842600751287
PRT,2024,2.41613187791884
MNG,2024,6.80284899332961
MNE,2024,3.33675009282281
MWI,2024,32.1796504225025
MYS,2024,1.834100204499
MDV,2024,1.39979779674928
MLI,2024,3.20639864099652
LSO,2024,6.10544624245032
LBY,2024,2.12615766885025
LTU,2024,0.715735835228723
SGP,2024,2.36645846996694
SVK,2024,2.75760909424272
ROU,2024,-4.5191101423114
RWA,2024,1.77029240198635
WSM,2024,2.17245530514377
SMR,2024,1.24216507945569
LUX,2024,2.05113269954859
KWT,2024,2.89855072463762
LAO,2024,23.1305695942588
LVA,2024,1.26579885828729
JPN,2024,2.73853681635241
KAZ,2024,4.85655589318192
KEN,2024,4.48978854243448
KOR,2024,2.32174328643542
IRL,2024,2.11344999577317
ISR,2024,3.07052614744924
ITA,2024,0.982373023061417
ESP,2024,2.77417826534772
LKA,2024,-0.42936004906973
SRB,2024,4.6705297488997
SYC,2024,0.311726050919668
SLE,2024,28.6337500014115
JAM,2024,5.41194447981659
HKG,2024,1.72972119105914
HUN,2024,3.70370370370369
ISL,2024,5.85683849970066
IND,2024,4.95303550973656
GTM,2024,2.86919482222022
GIN,2024,8.12313914948596
GUY,2024,2.90395226446373
HND,2024,4.60621098127107
GAB,2024,1.17311998381218
GEO,2024,1.10971758022096
DEU,2024,2.2564981433876
SWE,2024,2.83581658224034
SVN,2024,1.96562656432512
ZAF,2024,4.36115246518962
GHA,2024,22.8483281157842
GRC,2024,2.74149045788606
EST,2024,3.52056053296586
FIN,2024,1.56568906231616
FRA,2024,1.99904942291463
DNK,2024,1.37220049768918
DOM,2024,3.30223338951227
ECU,2024,1.54732515615369
SLV,2024,0.853782292567288
CRI,2024,-0.41345934225229
CIV,2024,3.46637314660165
CYP,2024,1.80023018624815
TON,2024,3.18364611260058
VCT,2024,3.62770736940927
SUR,2024,16.2296159130279
CZE,2024,2.43531202435314
TCD,2024,8.89950732263761
CHL,2024,4.29763891572524
CHN,2024,0.218128938439177
COL,2024,6.60908593728228
BGR,2024,2.44651943006079
BFA,2024,4.19113446375394
BDI,2024,20.2124925027847
CAN,2024,2.38158383281173
BOL,2024,5.09976568317427
BIH,2024,1.69212733599724
BWA,2024,2.81835131676251
BRA,2024,4.36746407652337
UKR,2024,6.50198464669254
CHE,2024,1.06234041976595
TZA,2024,3.05694676312373
TLS,2024,2.06284153005468
BRN,2024,-0.388674165036461
BLR,2024,5.78531910428
BEL,2024,3.14349136500041
BLZ,2024,3.28955985952768
BTN,2024,2.76131569624098
AUS,2024,3.1616142830575
AUT,2024,2.93791574279383
AZE,2024,2.21217188919901
BHR,2024,0.919635459817651
BGD,2024,10.4657482763412
AFG,2024,-6.60118564073726
ALB,2024,2.21448953273294
DZA,2024,4.04611455313434
AGO,2024,28.2404948915772
TTO,2024,0.526884625776839
TUN,2024,7.20661657168794
TUR,2024,58.5064507300343
UGA,2024,3.3233806708656
ARM,2024,0.269511978259125
UZB,2024,9.62825465956682
VNM,2024,3.62109273885843
