iso3,year,value
AFG,2021,37.0
BGD,2021,76.0
MDV,2021,97.8600006103516
MAC,2021,97.1100006103516
LTU,2021,99.8300018310547
NAM,2021,92.25
GIN,2021,45.3300018310547
COG,2021,80.6100006103516
HRV,2021,99.4499969482422
CYP,2021,99.3600006103516
CUB,2021,99.6731109619141
EST,2021,99.870002746582
CRI,2021,98.0400009155273
CIV,2021,50.0006408691406
BGR,2021,98.4199981689453
BRN,2021,97.5899963378906
NGA,2021,63.1555404663086
POL,2021,99.8000030517578
PRT,2021,96.7799987792969
HUN,2021,99.0999984741211
MLT,2021,94.9400024414062
MNE,2021,98.9800033569336
NPL,2021,71.1500015258789
LVA,2021,99.8899993896484
MRT,2021,66.9599990844727
MUS,2021,92.1500015258789
MDA,2021,99.5999984741211
TON,2021,99.4000015258789
SYR,2021,94.0
SUR,2021,95.0
ZAF,2021,90.0
VUT,2021,89.0999984741211
UKR,2021,100.0
PRI,2021,92.4000015258789
RUS,2021,100.0
ROU,2021,99.0
SGP,2021,98.0
WSM,2021,99.0999984741211
AGO,2022,72.4000015258789
ALB,2022,98.5
UZB,2022,100.0
VEN,2022,97.5999984741211
VNM,2022,96.0
NER,2022,38.0999984741211
MDG,2022,77.4800033569336
GEO,2022,100.0
MYS,2022,96.0
MAR,2022,77.3499984741211
GUY,2022,90.0299987792969
KEN,2022,82.879997253418
IRN,2022,88.9599990844727
LAO,2022,87.5199966430664
LSO,2022,82.0100021362305
GNB,2022,53.9000015258789
MWI,2022,68.0800018310547
GTM,2022,83.0311737060547
CHL,2022,97.1600036621094
STP,2022,93.75
SOM,2022,54.0
SMR,2022,100.0
RWA,2022,79.0
OMN,2022,97.0
SLE,2022,48.6399993896484
TZA,2022,82.0199966430664
THA,2022,91.0998687744141
LKA,2022,92.0
TUN,2022,85.2149276733398
ARE,2022,98.0
UGA,2022,80.5899963378906
URY,2022,99.0
SEN,2022,57.6699981689453
ZWE,2022,89.8499984741211
PSE,2022,98.0
EGY,2022,74.5
SWZ,2022,90.7470169067383
ECU,2022,94.0
DOM,2022,95.5
COD,2022,80.5400009155273
BEN,2022,47.0999984741211
BFA,2022,34.4900016784668
TCD,2022,27.2800006866455
GMB,2022,58.6699981689453
GAB,2022,85.6900024414062
CPV,2022,91.0
BDI,2022,75.5400009155273
KHM,2022,83.7799987792969
COM,2022,61.7099990844727
BIH,2022,98.3000030517578
BTN,2022,72.0999984741211
BRA,2022,94.6900024414062
AZE,2023,100.0
BHR,2023,98.0
SLV,2023,90.0
IND,2023,77.0
JOR,2023,95.0
