iso3,year,value
AFG,2021,23040000000.0
SDN,2021,136986000000.0
QAT,2022,56100000000.0
ALB,2023,40256000000.0
ZWE,2023,326238490000.0
ZMB,2023,7462500000.0
DZA,2023,2486000000000.0
AZE,2023,6054840000.0
BHR,2023,520300000.0
BGD,2023,454057000000.0
BLR,2023,37337400000.0
ARM,2023,520520000000.0
AUS,2023,48752894000.0
AUT,2023,4081900000.0
UGA,2023,3633550000000.0
UKR,2023,2382451228053.0
GBR,2023,60383547375.0
USA,2023,916014700000.0
URY,2023,61694416992.0
MAR,2023,52573100000.0
MOZ,2023,24024666666.6667
MMR,2023,5235000000000.0
NAM,2023,6236475000.0
NPL,2023,55285000000.0
NLD,2023,15388000000.0
MUS,2023,1019000000.0
MEX,2023,210365200000.0
MDA,2023,1697200000.0
NER,2023,201331000000.0
NGA,2023,1975400000000.0
MKD,2023,15200000000.0
CHL,2023,4595229903890.14
CHN,2023,2095971833571.33
COL,2023,46630500000000.0
COD,2023,1830154000000.0
COG,2023,172869000000.0
MNG,2023,387788500000.0
MNE,2023,106000000.0
CRI,2023,0.0
CIV,2023,413788000000.0
HRV,2023,1332000000.0
CYP,2023,524700000.0
CZE,2023,112127500000.0
DNK,2023,56169000000.0
NOR,2023,91586000000.0
OMN,2023,2250000000.0
PAK,2023,2383496000000.0
PAN,2023,0.0
PNG,2023,348480000.0
NZL,2023,4941611500.0
NIC,2023,3450000000.0
MWI,2023,146989750000.0
MYS,2023,17746200000.0
MLI,2023,476318000000.0
MLT,2023,104257000.0
MRT,2023,10069000000.0
LBN,2023,20838300000000.0
LSO,2023,626034375.0
LBR,2023,37153000.0
POL,2023,133634000000.0
PRT,2023,3909000000.0
KHM,2023,2745575000000.0
CMR,2023,276941000000.0
CAN,2023,36757250000.0
CAF,2023,37839000000.0
TCD,2023,226100000000.0
LTU,2023,2000000000.0
LUX,2023,613206000.0
MDG,2023,453500000000.0
DOM,2023,49910900000.0
ECU,2023,2726300000.0
EGY,2023,96998450000.0
SLV,2023,453700000.0
GNQ,2023,98381000000.0
CPV,2023,1346343000.0
ROU,2023,25651000000.0
RUS,2023,9300000000000.0
RWA,2023,202985000000.0
SAU,2023,284300000000.0
SEN,2023,272346000000.0
PRY,2023,2897906000000.0
PER,2023,11229568446.2389
PHL,2023,303255500000.0
KOR,2023,62628200000000.0
KWT,2023,2383408250.0
KGZ,2023,40764933333.3333
LVA,2023,967519000.0
JAM,2023,35512050000.0
JPN,2023,7033637500000.0
SGP,2023,17737575000.0
SVK,2023,2465000000.0
SVN,2023,840000000.0
BRA,2023,114523700000.0
BRN,2023,603355000.0
BGR,2023,3473000000.0
BFA,2023,501728000000.0
BDI,2023,373670000000.0
JOR,2023,1739669763.16213
KAZ,2023,564260000000.0
KEN,2023,138575500000.0
EST,2023,1101000000.0
SWZ,2023,1249160000.0
ETH,2023,67000000000.0
FJI,2023,161730333.333333
FIN,2023,6801368000.0
SOM,2023,143465000.0
ZAF,2023,51243475000.0
SSD,2023,140181400000.0
ESP,2023,21936010000.0
LKA,2023,380981000000.0
SRB,2023,231423180253.083
SYC,2023,455238000.0
SLE,2023,441380000000.0
IDN,2023,144267000000000.0
IRN,2023,2930679054500000.0
IRQ,2023,6957075000000.0
IRL,2023,1174770000.0
ISR,2023,101428320000.0
ITA,2023,32885714000.0
HTI,2023,1662302500.0
HND,2023,13312900000.0
HUN,2023,1538908000000.0
TJK,2023,1512900000.0
TZA,2023,2185132500000.0
THA,2023,200572750000.0
BLZ,2023,52903025.0
BEN,2023,85473000000.0
BOL,2023,4451108588.0
BIH,2023,392300000.0
BWA,2023,6829247500.0
ISL,2023,0.0
IND,2023,6900585000000.0
FRA,2023,56740720000.0
GAB,2023,160975000000.0
GMB,2023,852351000.0
GEO,2023,1321080000.0
DEU,2023,61855000000.0
GHA,2023,3327940000.0
BEL,2023,7061800000.0
TLS,2023,55111000.0
TGO,2023,167787000000.0
TTO,2023,1633150000.0
TUN,2023,3750000000.0
TUR,2023,369113451834.298
SWE,2023,93200000000.0
CHE,2023,5674700000.0
GRC,2023,7154700000.0
GTM,2023,3307100000.0
GIN,2023,4356060000000.0
GNB,2023,15341600000.0
GUY,2023,20228300000.0
AGO,2023,854800000000.0
ARG,2023,826649000000.0
VEN,2023,1.0941524e+22
