country,iso3,year,value
Africa Eastern and Southern,AFE,2022,49.2972007384894
Africa Western and Central,AFW,2022,54.9855916127898
Arab World,ARB,2022,35.9918336255039
Caribbean small states,CSS,2022,7.96015257947297
Central Europe and the Baltics,CEB,2022,90.7676782196085
Early-demographic dividend,EAR,2022,104.215136704616
East Asia & Pacific,EAS,2022,97.3352488628978
East Asia & Pacific (excluding high income),EAP,2022,133.338264665834
East Asia & Pacific (IDA & IBRD countries),TEA,2022,132.689192865033
Euro area,EMU,2022,127.410437652607
Europe & Central Asia,ECS,2022,33.7231954793762
Europe & Central Asia (excluding high income),ECA,2022,42.4584548403521
Europe & Central Asia (IDA & IBRD countries),TEC,2022,20.0754364569861
European Union,EUU,2022,112.05440196746
Fragile and conflict affected situations,FCS,2022,50.7660980253332
Heavily indebted poor countries (HIPC),HPC,2022,46.0900782945962
High income,,2022,26.9476901284208
IBRD only,IBD,2022,69.6300178791534
IDA & IBRD total,IBT,2022,70.7284129427182
IDA blend,IDB,2022,135.546781529734
IDA only,IDX,2022,60.1297526450257
IDA total,IDA,2022,73.8026057703626
Late-demographic dividend,LTE,2022,52.2010767219358
Latin America & Caribbean,LCN,2022,32.5866637093114
Latin America & Caribbean (excluding high income),LAC,2022,32.9227719704604
Latin America & the Caribbean (IDA & IBRD countries),TLA,2022,32.0247780918987
Least developed countries: UN classification,LDC,2022,55.7262269804658
Low & middle income,LMY,2022,85.150427754208
Low income,,2022,48.6114450741019
Lower middle income,,2022,170.151178034747
Middle East & North Africa,MEA,2022,44.5063117176661
Middle East & North Africa (excluding high income),MNA,2022,50.0823269833131
Middle East & North Africa (IDA & IBRD countries),TMN,2022,49.4979244122932
Middle income,MIC,2022,93.7861813185617
North America,NAC,2022,20.7555533303814
Not classified,,2022,
OECD members,OED,2022,39.0398024744114
Other small states,OSS,2022,51.5717695365776
Pacific island small states,PSS,2022,41.4037256430242
Post-demographic dividend,PST,2022,35.8565331191719
Pre-demographic dividend,PRE,2022,51.7611956981529
Small states,SST,2022,27.283552144992
South Asia,SAS,2022,405.08185831803
South Asia (IDA & IBRD),TSA,2022,405.08185831803
Sub-Saharan Africa,SSF,2022,51.4509903312293
Sub-Saharan Africa (excluding high income),SSA,2022,51.4469631683754
Sub-Saharan Africa (IDA & IBRD countries),TSS,2022,51.4509903312293
Upper middle income,,2022,63.1293379310291
World,WLD,2022,61.5946178083236
Afghanistan,AFG,2022,62.2155405301811
Albania,ALB,2022,101.375510948905
Algeria,DZA,2022,19.0941790060296
American Samoa,ASM,2022,241.71
Andorra,AND,2022,169.585106382979
Angola,AGO,2022,28.5834835966953
Antigua and Barbuda,ATG,2022,211.0
Argentina,ARG,2022,16.5922716858687
Armenia,ARM,2022,104.292237442922
Aruba,ABW,2022,596.166666666667
Australia,AUS,2022,3.38199835673854
Austria,AUT,2022,109.571631119729
Azerbaijan,AZE,2022,122.707271627344
"Bahamas, The",BHS,2022,39.7140859140859
Bahrain,BHR,2022,1929.99113924051
Bangladesh,BGD,2022,1301.25909963893
Barbados,BRB,2022,656.553488372093
Belarus,BLR,2022,45.4607172767131
Belgium,BEL,2022,383.033055683085
Belize,BLZ,2022,17.6559842174485
Benin,BEN,2022,122.024663001064
Bermuda,BMU,2022,1199.05555555556
Bhutan,BTN,2022,20.4749344520189
Bolivia,BOL,2022,11.1484851841595
Bosnia and Herzegovina,BIH,2022,62.5937890625
Botswana,BWA,2022,4.30521059411007
Brazil,BRA,2022,25.161867951482
British Virgin Islands,VGB,2022,255.46
Brunei Darussalam,BRN,2022,86.4079696394687
Bulgaria,BGR,2022,61.1949521002211
Burkina Faso,BFA,2022,82.2698757309942
Burundi,BDI,2022,518.734306853583
Cabo Verde,CPV,2022,128.967990074442
Cambodia,KHM,2022,97.4491502379334
Cameroon,CMR,2022,58.4560745488777
Canada,CAN,2022,4.43058199733749
Cayman Islands,CYM,2022,298.295833333333
Central African Republic,CAF,2022,8.18331086070179
Chad,TCD,2022,14.6563818297332
Channel Islands,CHI,2022,
Chile,CHL,2022,26.2975043441304
China,CHN,2022,150.42004812419
Colombia,COL,2022,46.6317656602073
Comoros,COM,2022,448.247178936056
"Congo, Dem. Rep.",COD,2022,45.1674943208134
"Congo, Rep.",COG,2022,17.6723396778917
Costa Rica,CRI,2022,99.5253623188406
Cote d'Ivoire,CIV,2022,95.5817672955975
Croatia,HRV,2022,68.8999463902788
Cuba,CUB,2022,106.549325626204
Curacao,CUW,2022,337.828828828829
Cyprus,CYP,2022,144.087662337662
Czechia,CZE,2022,138.290511305111
Denmark,DNK,2022,147.575925
Djibouti,DJI,2022,49.0550474547023
Dominica,DMA,2022,89.1013333333333
Dominican Republic,DOM,2022,233.012351959686
Ecuador,ECU,2022,71.7663754227734
"Egypt, Arab Rep.",EGY,2022,113.13300517354
El Salvador,SLV,2022,303.104198841699
Equatorial Guinea,GNQ,2022,64.297504456328
Eritrea,ERI,2022,28.1677432992466
Estonia,EST,2022,31.5665808565411
Eswatini,SWZ,2022,70.8672674418605
Ethiopia,ETH,2022,111.100003951899
Faroe Islands,FRO,2022,39.3810218978102
Fiji,FJI,2022,50.3241379310345
Finland,FIN,2022,18.2798093224591
France,FRA,2022,124.306720578862
French Polynesia,PYF,2022,80.7772976087583
Gabon,GAB,2022,9.43356618931191
"Gambia, The",GMB,2022,260.520750988142
Georgia,GEO,2022,64.9515728331992
Germany,DEU,2022,239.861418021525
Ghana,GHA,2022,145.689425270181
Gibraltar,GIB,2022,
Greece,GRC,2022,80.968828549263
Greenland,GRL,2022,0.138046047021562
Grenada,GRD,2022,343.861764705882
Guam,GUM,2022,305.888888888889
Guatemala,GTM,2022,166.553536767451
Guinea,GIN,2022,57.1998087253785
Guinea-Bissau,GNB,2022,74.8765647226174
Guyana,GUY,2022,4.17392430784862
Haiti,HTI,2022,417.402249637155
Honduras,HND,2022,93.5192778621861
"Hong Kong SAR, China",HKG,2022,
Hungary,HUN,2022,105.680221345606
Iceland,ISL,2022,3.78858474660319
India,IND,2022,479.425536881262
Indonesia,IDN,2022,147.330175215419
"Iran, Islamic Rep.",IRN,2022,55.1767309707242
Iraq,IRQ,2022,101.515108447278
Ireland,IRL,2022,74.9847583103498
Isle of Man,IMN,2022,147.6
Israel,ISR,2022,
Italy,ITA,2022,199.559268903016
Jamaica,JAM,2022,262.155493998153
Japan,JPN,2022,343.278433470508
Jordan,JOR,2022,126.768283893056
Kazakhstan,KAZ,2022,7.42105011667963
Kenya,KEN,2022,95.3235776786028
Kiribati,KIR,2022,161.072839506173
"Korea, Dem. People's Rep.",PRK,2022,218.659953492235
"Korea, Rep.",KOR,2022,529.43205942623
Kosovo,XKX,2022,
Kuwait,KWT,2022,257.555723905724
Kyrgyz Republic,KGZ,2022,36.3671506777894
Lao PDR,LAO,2022,32.7513301559792
Latvia,LVA,2022,30.2005945685361
Lebanon,LBN,2022,561.533626588465
