country,iso3,year,value
Africa Eastern and Southern,AFE,2023,2.55285936960851
Africa Western and Central,AFW,2023,2.4149012043294
Arab World,ARB,2023,2.18848579312262
Caribbean small states,CSS,2023,0.667059449050853
Central Europe and the Baltics,CEB,2023,-0.113214356520089
Early-demographic dividend,EAR,2023,1.16497016934463
East Asia & Pacific,EAS,2023,0.202354062492944
East Asia & Pacific (excluding high income),EAP,2023,0.185949551047358
East Asia & Pacific (IDA & IBRD countries),TEA,2023,0.184031725241482
Euro area,EMU,2023,0.299354176558552
Europe & Central Asia,ECS,2023,-0.0448969185603687
Europe & Central Asia (excluding high income),ECA,2023,-0.672880612409273
Europe & Central Asia (IDA & IBRD countries),TEC,2023,-0.523300452447288
European Union,EUU,2023,0.213649199385443
Fragile and conflict affected situations,FCS,2023,1.98730921261337
Heavily indebted poor countries (HIPC),HPC,2023,2.61749583340556
High income,,2023,0.533291384111536
IBRD only,IBD,2023,0.484508127737143
IDA & IBRD total,IBT,2023,0.937936255296961
IDA blend,IDB,2023,1.88725723151266
IDA only,IDX,2023,2.25903571594539
IDA total,IDA,2023,2.1352440246788
Late-demographic dividend,LTE,2023,0.111267696638166
Latin America & Caribbean,LCN,2023,0.690065851624283
Latin America & Caribbean (excluding high income),LAC,2023,0.721899473947502
Latin America & the Caribbean (IDA & IBRD countries),TLA,2023,0.714934720513554
Least developed countries: UN classification,LDC,2023,2.31265670104519
Low & middle income,LMY,2023,0.980062836354747
Low income,,2023,2.73420945242688
Lower middle income,,2023,1.26841432195783
Middle East & North Africa,MEA,2023,2.05615651551005
Middle East & North Africa (excluding high income),MNA,2023,1.82519874851199
Middle East & North Africa (IDA & IBRD countries),TMN,2023,1.81815097784583
Middle income,MIC,2023,0.765176224958154
North America,NAC,2023,0.752706030261237
Not classified,,2023,
OECD members,OED,2023,0.523494915701136
Other small states,OSS,2023,1.36592243565387
Pacific island small states,PSS,2023,1.24903569173611
Post-demographic dividend,PST,2023,0.149822497243861
Pre-demographic dividend,PRE,2023,2.57062910288649
Small states,SST,2023,1.24100787032538
South Asia,SAS,2023,0.996267135131575
South Asia (IDA & IBRD),TSA,2023,0.996267135131575
Sub-Saharan Africa,SSF,2023,2.49703595257955
Sub-Saharan Africa (excluding high income),SSA,2023,2.49728804152738
Sub-Saharan Africa (IDA & IBRD countries),TSS,2023,2.49703595257955
Upper middle income,,2023,0.22066061455746
World,WLD,2023,0.899807857183859
Afghanistan,AFG,2023,2.13559384981397
Albania,ALB,2023,-1.14841763771287
Algeria,DZA,2023,1.49897601193923
American Samoa,ASM,2023,-1.71290294190977
Andorra,AND,2023,1.43374756867515
