country,iso3,year,value
Africa Eastern and Southern,AFE,2023,2.32013780158925
Africa Western and Central,AFW,2023,3.3547328190002
Arab World,ARB,2023,1.02075134315025
Caribbean small states,CSS,2023,12.5576346497814
Central Europe and the Baltics,CEB,2023,0.639830852654953
Early-demographic dividend,EAR,2023,4.31311202139636
East Asia & Pacific,EAS,2023,4.10414562460986
East Asia & Pacific (excluding high income),EAP,2023,5.10744885870969
East Asia & Pacific (IDA & IBRD countries),TEA,2023,5.10738915793692
Euro area,EMU,2023,0.40141849759172
Europe & Central Asia,ECS,2023,1.01614432883042
Europe & Central Asia (excluding high income),ECA,2023,5.04254617779993
Europe & Central Asia (IDA & IBRD countries),TEC,2023,3.64984350109363
European Union,EUU,2023,0.427838269445104
Fragile and conflict affected situations,FCS,2023,1.81242145006533
Heavily indebted poor countries (HIPC),HPC,2023,3.98131584100545
High income,,2023,1.77998069266845
IBRD only,IBD,2023,4.56802785241229
IDA & IBRD total,IBT,2023,4.46455748390061
IDA blend,IDB,2023,2.53025991509384
IDA only,IDX,2023,3.74841700516441
IDA total,IDA,2023,3.17237432437535
Late-demographic dividend,LTE,2023,4.1494212730548
Latin America & Caribbean,LCN,2023,2.08842613019844
Latin America & Caribbean (excluding high income),LAC,2023,2.07213292803164
Latin America & the Caribbean (IDA & IBRD countries),TLA,2023,2.17205461841291
Least developed countries: UN classification,LDC,2023,3.43106103848459
Low & middle income,LMY,2023,4.61145900782721
Low income,,2023,2.23905392962553
Lower middle income,,2023,5.54638861437577
Middle East & North Africa,MEA,2023,1.97724704424243
Middle East & North Africa (excluding high income),MNA,2023,3.15107695991034
Middle East & North Africa (IDA & IBRD countries),TMN,2023,3.23056945698201
Middle income,MIC,2023,4.64482706320206
North America,NAC,2023,2.7623120819851
Not classified,,2023,
OECD members,OED,2023,1.82098706342816
Other small states,OSS,2023,2.90181856916189
Pacific island small states,PSS,2023,5.40528058535874
Post-demographic dividend,PST,2023,1.85688668399958
Pre-demographic dividend,PRE,2023,2.13387325697836
Small states,SST,2023,4.80110345404002
South Asia,SAS,2023,6.77854269975873
South Asia (IDA & IBRD),TSA,2023,6.77854269975873
Sub-Saharan Africa,SSF,2023,2.79926945385927
Sub-Saharan Africa (excluding high income),SSA,2023,2.79890609439795
Sub-Saharan Africa (IDA & IBRD countries),TSS,2023,2.79926945385928
Upper middle income,,2023,4.41329290543347
World,WLD,2023,2.83350870346007
Afghanistan,AFG,2023,2.71088679128353
Albania,ALB,2023,3.93662525742167
Algeria,DZA,2023,4.10000000000004
American Samoa,ASM,2023,
Andorra,AND,2023,2.58355480961319
Angola,AGO,2023,1.00128936028298
Antigua and Barbuda,ATG,2023,3.86201218730389
Argentina,ARG,2023,-1.61100162090189
Armenia,ARM,2023,8.29999999959539
Aruba,ABW,2023,4.26371941452948
Australia,AUS,2023,3.44199220009025
Austria,AUT,2023,-0.954962366849259
Azerbaijan,AZE,2023,1.12397432709641
"Bahamas, The",BHS,2023,2.63905598075102
Bahrain,BHR,2023,2.9807927665851
Bangladesh,BGD,2023,5.77511237007889
Barbados,BRB,2023,4.09382010970572
Belarus,BLR,2023,3.88624214456901
Belgium,BEL,2023,1.25170063203595
Belize,BLZ,2023,1.14901682065862
Benin,BEN,2023,6.35282160914288
Bermuda,BMU,2023,-0.0948235929642749
Bhutan,BTN,2023,
Bolivia,BOL,2023,3.08196524087036
Bosnia and Herzegovina,BIH,2023,2.21112447211205
Botswana,BWA,2023,2.73379817032757
Brazil,BRA,2023,2.90848048667777
British Virgin Islands,VGB,2023,
Brunei Darussalam,BRN,2023,1.40706832327938
Bulgaria,BGR,2023,1.88681483907177
Burkina Faso,BFA,2023,2.96018147384929
Burundi,BDI,2023,2.70000059705133
Cabo Verde,CPV,2023,5.47543591649173
Cambodia,KHM,2023,4.96006658918908
Cameroon,CMR,2023,3.24834497823876
Canada,CAN,2023,1.24892730403391
Cayman Islands,CYM,2023,4.35967595700366
Central African Republic,CAF,2023,0.870251450842758
Chad,TCD,2023,4.12231962001739
Channel Islands,CHI,2023,3.71500566060664
Chile,CHL,2023,0.218780666901552
China,CHN,2023,5.24955786387791
Colombia,COL,2023,0.610409565791542
Comoros,COM,2023,2.99567457175966
"Congo, Dem. Rep.",COD,2023,8.56086250904089
"Congo, Rep.",COG,2023,1.90686426346754
Costa Rica,CRI,2023,5.11192183224598
Cote d'Ivoire,CIV,2023,6.199999999987
Croatia,HRV,2023,3.30254488086325
Cuba,CUB,2023,-1.92899211214875
Curacao,CUW,2023,4.20199999999977
