country,iso3,year,value
Africa Eastern and Southern,AFE,2023,750503764.0
Africa Western and Central,AFW,2023,509398589.0
Arab World,ARB,2023,481667539.0
Caribbean small states,CSS,2023,3152394.0
Central Europe and the Baltics,CEB,2023,100175859.0
Early-demographic dividend,EAR,2023,3511076811.0
East Asia & Pacific,EAS,2023,2384463611.0
East Asia & Pacific (excluding high income),EAP,2023,2137527754.0
East Asia & Pacific (IDA & IBRD countries),TEA,2023,2111139152.0
Euro area,EMU,2023,349670802.0
Europe & Central Asia,ECS,2023,924969865.0
Europe & Central Asia (excluding high income),ECA,2023,249146208.0
Europe & Central Asia (IDA & IBRD countries),TEC,2023,459025452.0
European Union,EUU,2023,448804042.0
Fragile and conflict affected situations,FCS,2023,1058789534.0
Heavily indebted poor countries (HIPC),HPC,2023,917304254.0
High income,,2023,1400465513.0
IBRD only,IBD,2023,4952574126.0
IDA & IBRD total,IBT,2023,6858957145.0
IDA blend,IDB,2023,633230238.0
IDA only,IDX,2023,1273152781.0
IDA total,IDA,2023,1906383019.0
Late-demographic dividend,LTE,2023,2326658047.0
Latin America & Caribbean,LCN,2023,657611624.0
Latin America & Caribbean (excluding high income),LAC,2023,594995068.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,2023,642397939.0
Least developed countries: UN classification,LDC,2023,1160824674.0
Low & middle income,LMY,2023,6633109634.0
Low income,,2023,736466395.0
Lower middle income,,2023,3079778780.0
Middle East & North Africa,MEA,2023,508311359.0
Middle East & North Africa (excluding high income),MNA,2023,440118189.0
Middle East & North Africa (IDA & IBRD countries),TMN,2023,434952414.0
Middle income,MIC,2023,5896643239.0
North America,NAC,2023,375077354.0
Not classified,,2023,
OECD members,OED,2023,1385723403.0
Other small states,OSS,2023,14411921.0
Pacific island small states,PSS,2023,2689224.0
Post-demographic dividend,PST,2023,1119236161.0
Pre-demographic dividend,PRE,2023,1078224044.0
Small states,SST,2023,20253539.0
South Asia,SAS,2023,1951539835.0
South Asia (IDA & IBRD),TSA,2023,1951539835.0
Sub-Saharan Africa,SSF,2023,1259902353.0
Sub-Saharan Africa (excluding high income),SSA,2023,1259782580.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,2023,1259902353.0
Upper middle income,,2023,2816864459.0
World,WLD,2023,8061876001.0
Afghanistan,AFG,2023,41454761.0
Albania,ALB,2023,2745972.0
Algeria,DZA,2023,46164219.0
American Samoa,ASM,2023,47521.0
Andorra,AND,2023,80856.0
Angola,AGO,2023,36749906.0
Antigua and Barbuda,ATG,2023,93316.0
Argentina,ARG,2023,45538401.0
Armenia,ARM,2023,2990900.0
Aruba,ABW,2023,107359.0
Australia,AUS,2023,26658948.0
Austria,AUT,2023,9131761.0
Azerbaijan,AZE,2023,10153958.0
"Bahamas, The",BHS,2023,399440.0
Bahrain,BHR,2023,1577059.0
Bangladesh,BGD,2023,171466990.0
Barbados,BRB,2023,282336.0
Belarus,BLR,2023,9178298.0
Belgium,BEL,2023,11787423.0
Belize,BLZ,2023,411106.0
Benin,BEN,2023,14111034.0
Bermuda,BMU,2023,64698.0
Bhutan,BTN,2023,786385.0
Bolivia,BOL,2023,12244159.0
Bosnia and Herzegovina,BIH,2023,3185073.0
Botswana,BWA,2023,2480244.0
Brazil,BRA,2023,211140729.0
British Virgin Islands,VGB,2023,38985.0
Brunei Darussalam,BRN,2023,458949.0
Bulgaria,BGR,2023,6446596.0
Burkina Faso,BFA,2023,23025776.0
Burundi,BDI,2023,13689450.0
Cabo Verde,CPV,2023,522331.0
Cambodia,KHM,2023,17423880.0
Cameroon,CMR,2023,28372687.0
Canada,CAN,2023,40097761.0
Cayman Islands,CYM,2023,73038.0
Central African Republic,CAF,2023,5152421.0
Chad,TCD,2023,19319064.0
Channel Islands,CHI,2023,167691.0
Chile,CHL,2023,19658835.0
China,CHN,2023,1410710000.0
Colombia,COL,2023,52321152.0
Comoros,COM,2023,850387.0
"Congo, Dem. Rep.",COD,2023,105789731.0
"Congo, Rep.",COG,2023,6182885.0
Costa Rica,CRI,2023,5105525.0
Cote d'Ivoire,CIV,2023,31165654.0
Croatia,HRV,2023,3859686.0
Cuba,CUB,2023,11019931.0
Curacao,CUW,2023,147862.0
Cyprus,CYP,2023,1344976.0
Czechia,CZE,2023,10864042.0
Denmark,DNK,2023,5946952.0
Djibouti,DJI,2023,1152944.0
Dominica,DMA,2023,66510.0
Dominican Republic,DOM,2023,11331265.0
Ecuador,ECU,2023,17980083.0
"Egypt, Arab Rep.",EGY,2023,114535772.0
El Salvador,SLV,2023,6309624.0
Equatorial Guinea,GNQ,2023,1847549.0
Eritrea,ERI,2023,3470390.0
Estonia,EST,2023,1370286.0
Eswatini,SWZ,2023,1230506.0
Ethiopia,ETH,2023,128691692.0
Faroe Islands,FRO,2023,54482.0
Fiji,FJI,2023,924145.0
Finland,FIN,2023,5583911.0
France,FRA,2023,68287487.0
French Polynesia,PYF,2023,281118.0
Gabon,GAB,2023,2484789.0
"Gambia, The",GMB,2023,2697845.0
Georgia,GEO,2023,3715483.0
Germany,DEU,2023,83280000.0
Ghana,GHA,2023,33787914.0
Gibraltar,GIB,2023,38471.0
Greece,GRC,2023,10405588.0
Greenland,GRL,2023,56865.0
Grenada,GRD,2023,117081.0
Guam,GUM,2023,166506.0
Guatemala,GTM,2023,18124838.0
Guinea,GIN,2023,14405468.0
Guinea-Bissau,GNB,2023,2153339.0
Guyana,GUY,2023,826353.0
Haiti,HTI,2023,11637398.0
Honduras,HND,2023,10644851.0
"Hong Kong SAR, China",HKG,2023,7536100.0
Hungary,HUN,2023,9592186.0
Iceland,ISL,2023,393349.0
India,IND,2023,1438069596.0
Indonesia,IDN,2023,281190067.0
"Iran, Islamic Rep.",IRN,2023,90608707.0
Iraq,IRQ,2023,45074049.0
Ireland,IRL,2023,5307600.0
Isle of Man,IMN,2023,84165.0
Israel,ISR,2023,9756600.0
Italy,ITA,2023,58993475.0
Jamaica,JAM,2023,2839786.0
Japan,JPN,2023,124516650.0
Jordan,JOR,2023,11439213.0
Kazakhstan,KAZ,2023,20330104.0
Kenya,KEN,2023,55339003.0
Kiribati,KIR,2023,132530.0
"Korea, Dem. People's Rep.",PRK,2023,26418204.0
"Korea, Rep.",KOR,2023,51712619.0
Kosovo,XKX,2023,1756366.0
Kuwait,KWT,2023,4853420.0
Kyrgyz Republic,KGZ,2023,7099750.0
Lao PDR,LAO,2023,7664993.0
Latvia,LVA,2023,1877445.0
Lebanon,LBN,2023,5773493.0
Lesotho,LSO,2023,2311472.0
Liberia,LBR,2023,5493031.0
Libya,LBY,2023,7305659.0
Liechtenstein,LIE,2023,39850.0
Lithuania,LTU,2023,2871585.0
Luxembourg,LUX,2023,666430.0
"Macao SAR, China",MAC,2023,678800.0
Madagascar,MDG,2023,31195932.0
Malawi,MWI,2023,21104482.0
Malaysia,MYS,2023,35126298.0
Maldives,MDV,2023,525994.0
Mali,MLI,2023,23769127.0
Malta,MLT,2023,552747.0
Marshall Islands,MHL,2023,38827.0
Mauritania,MRT,2023,5022441.0
Mauritius,MUS,2023,1261041.0
Mexico,MEX,2023,129739759.0
"Micronesia, Fed. Sts.",FSM,2023,112630.0
Moldova,MDA,2023,2457783.0
Monaco,MCO,2023,38956.0
Mongolia,MNG,2023,3481145.0
Montenegro,MNE,2023,616177.0
Morocco,MAR,2023,37712505.0
Mozambique,MOZ,2023,33635160.0
Myanmar,MMR,2023,54133798.0
Namibia,NAM,2023,2963095.0
Nauru,NRU,2023,11875.0
Nepal,NPL,2023,29694614.0
Netherlands,NLD,2023,17877117.0
New Caledonia,NCL,2023,289870.0
New Zealand,NZL,2023,5223100.0
Nicaragua,NIC,2023,6823613.0
Niger,NER,2023,26159867.0
Nigeria,NGA,2023,227882945.0
North Macedonia,MKD,2023,1827816.0
Northern Mariana Islands,MNP,2023,45143.0
Norway,NOR,2023,5519594.0
Oman,OMN,2023,5049269.0
Pakistan,PAK,2023,247504495.0
Palau,PLW,2023,17727.0
Panama,PAN,2023,4458759.0
Papua New Guinea,PNG,2023,10389635.0
Paraguay,PRY,2023,6844146.0
Peru,PER,2023,33845617.0
Philippines,PHL,2023,114891199.0
Poland,POL,2023,36687353.0
Portugal,PRT,2023,10578174.0
Puerto Rico,PRI,2023,3205691.0
Qatar,QAT,2023,2656032.0
Romania,ROU,2023,19059479.0
Russian Federation,RUS,2023,143826130.0
Rwanda,RWA,2023,13954471.0
Samoa,WSM,2023,216663.0
San Marino,SMR,2023,33860.0
Sao Tome and Principe,STP,2023,230871.0
Saudi Arabia,SAU,2023,33264292.0
Senegal,SEN,2023,18077573.0
Serbia,SRB,2023,6623183.0
Seychelles,SYC,2023,119773.0
Sierra Leone,SLE,2023,8460512.0
Singapore,SGP,2023,5917648.0
Sint Maarten (Dutch part),SXM,2023,42749.0
Slovak Republic,SVK,2023,5426740.0
Slovenia,SVN,2023,2120461.0
Solomon Islands,SLB,2023,800005.0
Somalia,SOM,2023,18358615.0
