country,iso3,year,value
Africa Eastern and Southern,AFE,2024,7.77265552201601
Africa Western and Central,AFW,2024,3.21831342109344
Arab World,ARB,2024,9.49775858560165
Caribbean small states,CSS,2024,8.88909855015244
Central Europe and the Baltics,CEB,2024,3.8680960778316
Early-demographic dividend,EAR,2024,5.29942912098638
East Asia & Pacific,EAS,2024,3.7829268239278
East Asia & Pacific (excluding high income),EAP,2024,3.88533986264755
East Asia & Pacific (IDA & IBRD countries),TEA,2024,3.90141243499666
Euro area,EMU,2024,6.41045223631567
Europe & Central Asia,ECS,2024,5.36822095780443
Europe & Central Asia (excluding high income),ECA,2024,6.91057128596901
Europe & Central Asia (IDA & IBRD countries),TEC,2024,4.7345394195908
European Union,EUU,2024,5.91623201139336
Fragile and conflict affected situations,FCS,2024,5.02124845086415
Heavily indebted poor countries (HIPC),HPC,2024,4.21260389549363
High income,,2024,4.3864512792173
IBRD only,IBD,2024,5.10889443876907
IDA & IBRD total,IBT,2024,4.97628769236817
IDA blend,IDB,2024,4.47542622339935
IDA only,IDX,2024,4.60522000844804
IDA total,IDA,2024,4.55947956895238
Late-demographic dividend,LTE,2024,4.65080025903247
Latin America & Caribbean,LCN,2024,6.23851055377876
Latin America & Caribbean (excluding high income),LAC,2024,6.15485627682284
Latin America & the Caribbean (IDA & IBRD countries),TLA,2024,6.31152830640779
Least developed countries: UN classification,LDC,2024,4.89153403312394
Low & middle income,LMY,2024,5.01335857931836
Low income,,2024,4.73509120267984
Lower middle income,,2024,4.39213045101583
Middle East & North Africa,MEA,2024,9.05183702863273
Middle East & North Africa (excluding high income),MNA,2024,10.8587476656264
Middle East & North Africa (IDA & IBRD countries),TMN,2024,10.8587476656264
Middle income,MIC,2024,5.0401121620372
North America,NAC,2024,4.37576495826356
Not classified,,2024,
OECD members,OED,2024,4.90575990865762
Other small states,OSS,2024,7.38410736088717
Pacific island small states,PSS,2024,3.1400708014776
Post-demographic dividend,PST,2024,4.63240782564285
Pre-demographic dividend,PRE,2024,4.5643996480652
Small states,SST,2024,7.1060728150314
South Asia,SAS,2024,4.5634021252246
South Asia (IDA & IBRD),TSA,2024,4.5634021252246
Sub-Saharan Africa,SSF,2024,5.82352536708496
Sub-Saharan Africa (excluding high income),SSA,2024,5.82352536708496
Sub-Saharan Africa (IDA & IBRD countries),TSS,2024,5.82352536708496
Upper middle income,,2024,5.63242128301172
World,WLD,2024,4.89214997028311
Afghanistan,AFG,2024,13.295
Albania,ALB,2024,10.25
Algeria,DZA,2024,11.427
American Samoa,ASM,2024,
Andorra,AND,2024,
Angola,AGO,2024,14.464
Antigua and Barbuda,ATG,2024,
Argentina,ARG,2024,7.876
Armenia,ARM,2024,13.329
Aruba,ABW,2024,
Australia,AUS,2024,4.072
Austria,AUT,2024,5.439
Azerbaijan,AZE,2024,5.594
"Bahamas, The",BHS,2024,8.463
Bahrain,BHR,2024,1.102
Bangladesh,BGD,2024,4.68
Barbados,BRB,2024,7.529
Belarus,BLR,2024,3.361
Belgium,BEL,2024,5.488
Belize,BLZ,2024,7.0
Benin,BEN,2024,1.722
Bermuda,BMU,2024,
Bhutan,BTN,2024,2.856
Bolivia,BOL,2024,3.091
Bosnia and Herzegovina,BIH,2024,10.723
Botswana,BWA,2024,23.138
Brazil,BRA,2024,7.634
British Virgin Islands,VGB,2024,
Brunei Darussalam,BRN,2024,5.144
Bulgaria,BGR,2024,4.104
Burkina Faso,BFA,2024,5.166
Burundi,BDI,2024,0.902
Cabo Verde,CPV,2024,11.878
Cambodia,KHM,2024,0.27
Cameroon,CMR,2024,3.518
Canada,CAN,2024,6.45
Cayman Islands,CYM,2024,
Central African Republic,CAF,2024,5.899
Chad,TCD,2024,1.088
Channel Islands,CHI,2024,6.256
Chile,CHL,2024,9.056
China,CHN,2024,4.571
Colombia,COL,2024,9.608
Comoros,COM,2024,3.875
"Congo, Dem. Rep.",COD,2024,4.556
"Congo, Rep.",COG,2024,19.694
Costa Rica,CRI,2024,7.848
Cote d'Ivoire,CIV,2024,2.288
Croatia,HRV,2024,5.236
Cuba,CUB,2024,1.53
Curacao,CUW,2024,
Cyprus,CYP,2024,5.602
Czechia,CZE,2024,2.506
Denmark,DNK,2024,5.587
Djibouti,DJI,2024,25.875
Dominica,DMA,2024,
Dominican Republic,DOM,2024,5.473
Ecuador,ECU,2024,4.773
"Egypt, Arab Rep.",EGY,2024,7.198
El Salvador,SLV,2024,2.839
Equatorial Guinea,GNQ,2024,7.823
Eritrea,ERI,2024,5.553
Estonia,EST,2024,7.828
Eswatini,SWZ,2024,34.4
Ethiopia,ETH,2024,3.398
Faroe Islands,FRO,2024,
Fiji,FJI,2024,4.307
Finland,FIN,2024,8.26
