country,iso3,year,value
Africa Eastern and Southern,AFE,2023,38.4248980530256
Africa Western and Central,AFW,2023,49.7111841247346
Arab World,ARB,2023,59.4438543814949
Caribbean small states,CSS,2023,46.7702706882452
Central Europe and the Baltics,CEB,2023,63.0354532399767
Early-demographic dividend,EAR,2023,47.0682198755164
East Asia & Pacific,EAS,2023,62.9823809878791
East Asia & Pacific (excluding high income),EAP,2023,60.0489417681404
East Asia & Pacific (IDA & IBRD countries),TEA,2023,60.0098852351415
Euro area,EMU,2023,77.9563809114008
Europe & Central Asia,ECS,2023,73.2784818081305
Europe & Central Asia (excluding high income),ECA,2023,64.3254436139662
Europe & Central Asia (IDA & IBRD countries),TEC,2023,67.181073022192
European Union,EUU,2023,75.7010243693148
Fragile and conflict affected situations,FCS,2023,44.7685871271884
Heavily indebted poor countries (HIPC),HPC,2023,38.5476985045553
High income,,2023,81.1523690050232
IBRD only,IBD,2023,57.9586238894416
IDA & IBRD total,IBT,2023,52.8142168719889
IDA blend,IDB,2023,44.6113619381455
IDA only,IDX,2023,36.8602932436828
IDA total,IDA,2023,39.4372870426606
Late-demographic dividend,LTE,2023,66.3703403466461
Latin America & Caribbean,LCN,2023,81.8011656731215
Latin America & Caribbean (excluding high income),LAC,2023,81.4058469165042
Latin America & the Caribbean (IDA & IBRD countries),TLA,2023,81.8143993320891
Least developed countries: UN classification,LDC,2023,36.4129698967494
Low & middle income,LMY,2023,52.0694301775767
Low income,,2023,35.1041622070291
Lower middle income,,2023,40.9666955216037
Middle East & North Africa,MEA,2023,66.0558443057929
Middle East & North Africa (excluding high income),MNA,2023,62.5630812477396
Middle East & North Africa (IDA & IBRD countries),TMN,2023,62.384706895695
Middle income,MIC,2023,54.1889534206274
North America,NAC,2023,83.1473649424646
Not classified,,2023,
OECD members,OED,2023,81.6850813922661
Other small states,OSS,2023,59.6106872230982
Pacific island small states,PSS,2023,39.5195613366532
Post-demographic dividend,PST,2023,82.3093253731622
Pre-demographic dividend,PRE,2023,44.1972682106447
Small states,SST,2023,54.9444612384532
South Asia,SAS,2023,36.3282489436825
South Asia (IDA & IBRD),TSA,2023,36.3282489436825
Sub-Saharan Africa,SSF,2023,42.9881232794007
Sub-Saharan Africa (excluding high income),SSA,2023,42.986618074137
Sub-Saharan Africa (IDA & IBRD countries),TSS,2023,42.9881232794007
Upper middle income,,2023,68.6543408785223
World,WLD,2023,57.2502784347054
Afghanistan,AFG,2023,26.933
Albania,ALB,2023,64.603
Algeria,DZA,2023,75.268
American Samoa,ASM,2023,87.235
Andorra,AND,2023,87.774
Angola,AGO,2023,68.688
Antigua and Barbuda,ATG,2023,24.332
Argentina,ARG,2023,92.463
Armenia,ARM,2023,63.739
Aruba,ABW,2023,44.254
Australia,AUS,2023,86.617
Austria,AUT,2023,59.53
Azerbaijan,AZE,2023,57.577
"Bahamas, The",BHS,2023,83.625
Bahrain,BHR,2023,89.869
Bangladesh,BGD,2023,40.473
Barbados,BRB,2023,31.425
Belarus,BLR,2023,80.731
Belgium,BEL,2023,98.189
Belize,BLZ,2023,46.608
Benin,BEN,2023,50.1
Bermuda,BMU,2023,100.0
Bhutan,BTN,2023,44.35
Bolivia,BOL,2023,71.186
